iter	Passed	Remaining
0	257	257000
1	608	303608
2	1015	337601
3	1449	360830
4	1684	335226
5	2023	335238
6	2450	347557
7	2790	345993
8	3081	339319
9	3666	363015
10	4076	366505
11	4398	362138
12	4711	357733
13	5035	354625
14	5331	350133
15	5660	348113
16	5948	343965
17	6262	341662
18	6565	338996
19	6866	336466
20	7161	333845
21	7520	334320
22	7815	331991
23	8113	329949
24	8461	329982
25	8797	329575
26	9103	328069
27	9457	328301
28	9746	326342
29	10038	324591
30	10311	322326
31	10503	317724
32	10760	315307
33	11036	313569
34	11338	312613
35	11613	310986
36	11884	309328
37	12103	306410
38	12342	304125
39	12607	302574
40	12853	300643
41	13096	298732
42	13283	295643
43	13482	292940
44	13770	292230
45	13950	289314
46	14224	288433
47	14449	286588
48	14763	286526
49	15028	285545
50	15354	285718
51	15556	283598
52	15819	282670
53	16044	281076
54	16315	280338
55	16576	279426
56	16851	278782
57	17091	277588
58	17349	276714
59	17633	276253
60	17825	274400
61	18112	274029
62	18364	273142
63	18645	272694
64	18889	271720
65	19089	270141
66	19405	270231
67	19629	269045
68	19962	269352
69	20160	267849
70	20422	267220
71	20735	267260
72	20935	265855
73	21167	264874
74	21341	263214
75	21666	263424
76	21931	262892
77	22123	261512
78	22423	261414
79	22680	260827
80	22974	260660
81	23225	260009
82	23541	260088
83	23758	259084
84	23956	257885
85	24165	256831
86	24380	255853
87	24678	255761
88	24974	255637
89	25246	255271
90	25530	255022
91	25870	255330
92	26149	255026
93	26366	254131
94	26631	253701
95	26831	252659
96	27092	252208
97	27389	252095
98	27672	251846
99	27937	251437
100	28132	250408
101	28364	249715
102	28611	249171
103	28825	248344
104	29101	248057
105	29298	247099
106	29523	246400
107	29793	246068
108	30002	245252
109	30282	245015
110	30451	243887
111	30718	243556
112	31037	243633
113	31306	243314
114	31581	243043
115	31823	242513
116	32004	241536
117	32230	240911
118	32540	240911
119	32774	240344
120	33036	239992
121	33280	239513
122	33495	238826
123	33739	238356
124	34035	238249
125	34331	238139
126	34519	237284
127	34795	237043
128	34985	236222
129	35202	235584
130	35445	235133
131	35719	234885
132	35969	234477
133	36163	233713
134	36432	233437
135	36705	233189
136	36922	232582
137	37222	232507
138	37407	231711
139	37629	231151
140	37885	230804
141	38102	230226
142	38336	229750
143	38529	229034
144	38807	228832
145	38994	228093
146	39228	227632
147	39502	227408
148	39787	227241
149	40054	226975
150	40321	226708
151	40574	226365
152	40845	226118
153	41098	225775
154	41285	225072
155	41577	224943
156	41823	224565
157	42030	223983
158	42334	223919
159	42508	223170
160	42738	222718
161	42926	222053
162	43224	221955
163	43403	221253
164	43603	220660
165	43870	220409
166	44073	219840
167	44322	219501
168	44553	219078
169	44820	218827
170	45005	218182
171	45268	217922
172	45530	217653
173	45710	216993
174	45963	216684
175	46154	216087
